nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.41,0.65,0.64,0.66,0.64,0.01,0.86,114.34
0.37,0.61,0.6,0.62,0.6,0.01,0.88,113.69
0.43,0.67,0.66,0.68,0.66,0.0,0.81,117.67
0.39,0.62,0.62,0.65,0.62,0.0,0.86,117.43
0.36,0.6,0.6,0.62,0.6,0.01,0.87,119.62
0.42,0.65,0.65,0.67,0.65,0.01,0.84,112.39
0.4,0.64,0.63,0.66,0.63,0.0,0.81,112.14
0.43,0.67,0.66,0.69,0.66,0.01,0.81,115.32
0.37,0.6,0.59,0.62,0.59,0.01,0.89,127.18
0.43,0.67,0.66,0.68,0.66,0.01,0.8,135.92
0.42,0.65,0.65,0.67,0.65,0.0,0.82,127.16
0.4,0.64,0.63,0.66,0.63,0.01,0.85,125.07
0.39,0.63,0.62,0.64,0.62,0.0,0.88,130.08
0.37,0.62,0.61,0.63,0.61,0.0,0.84,154.43
0.39,0.63,0.62,0.64,0.62,0.01,0.87,171.15
0.38,0.62,0.61,0.63,0.61,0.0,0.86,169.25
0.39,0.63,0.62,0.66,0.62,0.0,0.81,167.75
0.41,0.63,0.62,0.65,0.62,0.02,0.88,169.44
0.42,0.66,0.65,0.68,0.65,0.0,0.82,169.71
0.38,0.61,0.61,0.64,0.61,0.02,0.86,171.59
