moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.66,0.85,0.85,0.86,0.85,0.0,0.37,62.67
0.62,0.82,0.82,0.83,0.83,0.0,0.42,65.17
0.61,0.81,0.81,0.81,0.81,0.0,0.42,64.42
0.63,0.83,0.83,0.84,0.83,0.0,0.4,63.24
0.63,0.83,0.83,0.84,0.83,0.0,0.4,63.21
0.63,0.83,0.83,0.84,0.83,0.0,0.4,63.11
0.56,0.77,0.77,0.77,0.77,0.0,0.46,63.25
0.63,0.82,0.82,0.84,0.83,0.0,0.41,66.49
0.62,0.82,0.82,0.83,0.82,0.0,0.41,66.13
0.6,0.8,0.8,0.81,0.81,0.0,0.44,64.47
0.58,0.79,0.79,0.79,0.79,0.0,0.44,65.81
0.64,0.84,0.84,0.84,0.84,0.0,0.39,65.67
0.66,0.85,0.85,0.86,0.85,0.0,0.38,66.47
0.68,0.86,0.86,0.88,0.87,0.0,0.37,64.86
0.67,0.86,0.86,0.87,0.86,0.0,0.37,65.47
0.63,0.83,0.83,0.84,0.84,0.0,0.39,65.22
0.6,0.8,0.8,0.81,0.8,0.0,0.44,65.36
0.64,0.84,0.84,0.84,0.84,0.0,0.39,68.47
0.63,0.83,0.83,0.84,0.83,0.0,0.4,65.29
0.65,0.84,0.84,0.86,0.84,0.0,0.38,66.12
