moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.62,0.77,0.73,0.81,0.73,0.01,0.43,63.53
0.63,0.78,0.75,0.79,0.75,0.01,0.43,63.11
0.65,0.8,0.77,0.82,0.77,0.01,0.38,60.47
0.65,0.8,0.76,0.84,0.76,0.01,0.38,59.41
0.71,0.84,0.81,0.87,0.81,0.01,0.34,59.57
0.68,0.82,0.79,0.85,0.79,0.01,0.34,59.52
0.66,0.81,0.77,0.84,0.77,0.01,0.38,59.72
0.63,0.78,0.75,0.79,0.75,0.01,0.4,59.32
0.69,0.83,0.8,0.85,0.8,0.01,0.35,59.86
0.71,0.84,0.81,0.87,0.81,0.01,0.32,59.77
0.72,0.85,0.82,0.87,0.82,0.01,0.34,59.51
0.69,0.83,0.8,0.85,0.8,0.01,0.34,59.62
0.67,0.82,0.79,0.84,0.79,0.01,0.37,59.43
0.69,0.82,0.8,0.84,0.8,0.01,0.35,59.66
0.63,0.78,0.75,0.79,0.75,0.01,0.41,59.61
0.67,0.81,0.78,0.83,0.78,0.01,0.37,60.41
0.71,0.84,0.81,0.87,0.81,0.01,0.34,60.34
0.68,0.81,0.79,0.83,0.79,0.01,0.37,60.88
0.69,0.83,0.8,0.85,0.8,0.01,0.33,60.23
0.64,0.79,0.76,0.8,0.76,0.01,0.41,61.22
