moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.56,0.83,0.93,0.84,0.93,0.0,0.45,67.87
0.57,0.83,0.94,0.84,0.94,0.0,0.45,64.32
0.51,0.79,0.9,0.82,0.9,0.0,0.49,66.97
0.54,0.81,0.92,0.83,0.92,0.0,0.47,67.2
0.54,0.81,0.92,0.83,0.92,0.0,0.47,64.84
0.54,0.81,0.92,0.82,0.92,0.0,0.49,64.92
0.52,0.8,0.91,0.81,0.91,0.0,0.5,63.97
0.56,0.82,0.93,0.84,0.93,0.0,0.45,65.39
0.55,0.82,0.93,0.83,0.93,0.0,0.47,65.84
0.54,0.81,0.92,0.83,0.92,0.0,0.47,67.27
0.53,0.81,0.92,0.81,0.92,0.0,0.49,65.29
0.53,0.8,0.91,0.82,0.91,0.0,0.49,65.54
0.55,0.82,0.93,0.82,0.93,0.0,0.48,64.46
0.54,0.82,0.93,0.82,0.93,0.0,0.47,64.27
0.55,0.81,0.92,0.83,0.92,0.0,0.47,62.77
0.54,0.81,0.92,0.83,0.92,0.0,0.48,62.9
0.53,0.81,0.92,0.82,0.92,0.0,0.47,63.04
0.52,0.8,0.92,0.81,0.92,0.0,0.49,63.16
0.53,0.8,0.91,0.82,0.91,0.0,0.49,62.91
0.56,0.82,0.93,0.84,0.93,0.0,0.46,63.3
