nsga3_tet,nsga3_derivative,nsga3_infinite,nsga3_instability,nsga3_minmax,nsga3_ms,nsga3_hv,nsga3_time
0.48,0.77,0.73,0.76,0.74,0.0,0.7,92.33
0.46,0.75,0.7,0.73,0.7,0.0,0.77,94.61
0.49,0.76,0.74,0.76,0.74,0.0,0.71,95.44
0.48,0.79,0.74,0.77,0.74,0.0,0.71,95.24
0.47,0.75,0.72,0.74,0.72,0.0,0.7,94.63
0.51,0.8,0.75,0.78,0.75,0.0,0.67,95.35
0.52,0.8,0.76,0.79,0.76,0.0,0.65,94.86
0.42,0.71,0.66,0.69,0.67,0.0,0.75,94.18
0.47,0.76,0.73,0.76,0.73,0.0,0.69,94.76
0.46,0.74,0.67,0.71,0.67,0.0,0.78,94.39
0.49,0.77,0.74,0.76,0.74,0.0,0.68,97.44
0.43,0.74,0.69,0.73,0.69,0.0,0.72,99.51
0.49,0.77,0.75,0.77,0.75,0.0,0.68,99.67
0.51,0.79,0.74,0.77,0.74,0.0,0.69,98.69
0.45,0.73,0.69,0.72,0.69,0.0,0.75,100.01
0.52,0.78,0.77,0.79,0.77,0.0,0.71,99.65
0.48,0.75,0.74,0.76,0.74,0.0,0.72,95.09
0.52,0.81,0.76,0.79,0.76,0.01,0.67,93.78
0.48,0.76,0.71,0.74,0.71,0.0,0.69,95.83
0.52,0.78,0.76,0.78,0.76,0.0,0.67,97.2
