nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.37,0.65,0.59,0.62,0.59,0.0,0.87,129.14
0.35,0.64,0.57,0.61,0.57,0.0,0.86,149.47
0.36,0.65,0.59,0.62,0.59,0.01,0.87,155.94
0.35,0.63,0.58,0.61,0.58,0.01,0.89,155.61
0.35,0.65,0.58,0.62,0.58,0.0,0.89,164.46
0.33,0.61,0.56,0.58,0.56,0.0,0.9,165.84
0.34,0.63,0.56,0.59,0.56,0.0,0.91,161.09
0.33,0.61,0.54,0.58,0.54,0.0,0.9,170.0
0.34,0.64,0.56,0.59,0.56,0.02,0.88,164.59
0.38,0.68,0.61,0.65,0.61,0.0,0.84,163.43
0.39,0.69,0.64,0.67,0.64,0.0,0.84,164.64
0.32,0.61,0.55,0.58,0.55,0.0,0.88,163.05
0.33,0.64,0.56,0.6,0.56,0.01,0.88,167.57
0.32,0.63,0.56,0.6,0.56,0.0,0.84,164.87
0.37,0.66,0.59,0.63,0.59,0.0,0.87,160.24
0.39,0.7,0.64,0.67,0.64,0.0,0.82,161.23
0.34,0.64,0.58,0.61,0.58,0.0,0.86,160.85
0.35,0.65,0.58,0.62,0.58,0.0,0.86,167.08
0.33,0.62,0.56,0.59,0.56,0.01,0.89,153.59
0.35,0.63,0.58,0.61,0.58,0.02,0.89,133.06
