moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.64,0.83,0.8,0.78,0.8,0.27,0.28,55.38
0.64,0.83,0.79,0.77,0.79,0.27,0.29,55.76
0.68,0.86,0.83,0.81,0.83,0.27,0.27,55.55
0.68,0.86,0.82,0.81,0.82,0.27,0.28,57.6
0.62,0.82,0.78,0.76,0.78,0.27,0.3,57.71
0.65,0.84,0.8,0.78,0.8,0.27,0.28,57.38
0.66,0.85,0.81,0.79,0.81,0.27,0.29,57.86
0.64,0.84,0.79,0.78,0.79,0.27,0.3,56.03
0.62,0.82,0.78,0.76,0.78,0.27,0.29,57.82
0.63,0.83,0.79,0.77,0.79,0.27,0.31,56.43
0.67,0.85,0.81,0.8,0.81,0.27,0.28,55.55
0.64,0.83,0.8,0.78,0.8,0.27,0.29,55.38
0.69,0.86,0.83,0.81,0.83,0.27,0.26,55.3
0.66,0.84,0.81,0.79,0.81,0.27,0.29,55.67
0.64,0.83,0.79,0.77,0.79,0.27,0.3,55.4
0.67,0.86,0.81,0.8,0.81,0.27,0.26,55.32
0.66,0.85,0.81,0.79,0.81,0.27,0.28,55.34
0.69,0.86,0.83,0.81,0.83,0.27,0.27,55.34
0.62,0.82,0.78,0.76,0.78,0.27,0.29,55.48
0.64,0.83,0.8,0.78,0.8,0.27,0.29,55.35
