nsga2_tet,nsga2_derivative,nsga2_infinite,nsga2_instability,nsga2_minmax,nsga2_ms,nsga2_hv,nsga2_time,less_tet,less_derivative,less_infinite,less_instability,less_minmax,less_ms,less_hv,less_time
0.29,0.62,0.43,0.49,0.43,0.02,0.95,49.91,0.3,0.57,0.57,0.59,0.57,0.0,0.85,6.72
0.29,0.63,0.43,0.5,0.43,0.0,0.92,48.18,0.3,0.57,0.56,0.58,0.56,0.0,0.85,8.77
0.3,0.64,0.44,0.51,0.44,0.0,0.93,48.28,0.29,0.56,0.55,0.57,0.55,0.0,0.85,8.36
0.25,0.58,0.39,0.46,0.39,0.0,0.95,51.6,0.29,0.56,0.56,0.57,0.56,0.0,0.85,6.79
0.32,0.65,0.46,0.53,0.46,0.03,0.91,48.92,0.3,0.57,0.57,0.58,0.57,0.0,0.85,6.69
0.33,0.67,0.48,0.55,0.48,0.01,0.92,47.74,0.3,0.57,0.57,0.58,0.57,0.01,0.85,6.74
0.28,0.62,0.42,0.49,0.42,0.0,0.93,49.81,0.28,0.55,0.54,0.55,0.54,0.01,0.85,7.46
0.27,0.59,0.41,0.48,0.42,0.01,0.96,52.32,0.29,0.56,0.55,0.57,0.55,0.01,0.85,7.13
0.29,0.64,0.44,0.51,0.44,0.02,0.92,49.55,0.29,0.56,0.56,0.57,0.56,0.0,0.85,7.03
0.28,0.62,0.43,0.5,0.43,0.0,0.93,50.74,0.29,0.56,0.56,0.57,0.56,0.0,0.84,6.68
0.26,0.59,0.4,0.47,0.4,0.01,0.95,46.83,0.32,0.6,0.59,0.61,0.59,0.0,0.85,6.58
0.27,0.6,0.4,0.47,0.4,0.01,0.95,48.52,0.3,0.58,0.57,0.59,0.57,0.0,0.85,6.44
0.31,0.64,0.45,0.52,0.45,0.0,0.92,50.75,0.29,0.56,0.56,0.57,0.56,0.0,0.85,8.01
0.27,0.61,0.42,0.49,0.42,0.02,0.93,48.85,0.29,0.56,0.56,0.57,0.56,0.0,0.85,6.78
0.29,0.64,0.43,0.5,0.43,0.01,0.91,47.8,0.31,0.58,0.58,0.59,0.58,0.0,0.84,6.74
0.28,0.62,0.43,0.49,0.43,0.01,0.94,50.35,0.29,0.56,0.56,0.57,0.56,0.0,0.85,6.85
0.28,0.61,0.42,0.49,0.42,0.02,0.95,50.03,0.29,0.56,0.55,0.57,0.55,0.0,0.84,6.54
0.29,0.62,0.42,0.49,0.43,0.02,0.95,49.49,0.29,0.56,0.55,0.56,0.55,0.01,0.85,6.47
0.29,0.63,0.43,0.5,0.43,0.02,0.94,51.38,0.31,0.59,0.59,0.6,0.59,0.0,0.84,6.97
0.33,0.66,0.46,0.53,0.46,0.03,0.93,52.03,0.3,0.57,0.56,0.58,0.56,0.0,0.85,7.1
