nsga3_tet,nsga3_derivative,nsga3_infinite,nsga3_instability,nsga3_minmax,nsga3_ms,nsga3_hv,nsga3_time
0.51,0.72,0.71,0.74,0.71,0.02,0.67,106.71
0.51,0.72,0.71,0.73,0.71,0.0,0.74,106.34
0.52,0.72,0.72,0.73,0.72,0.01,0.71,107.36
0.47,0.69,0.68,0.69,0.68,0.01,0.69,114.51
0.5,0.7,0.69,0.71,0.69,0.0,0.72,131.32
0.53,0.74,0.73,0.76,0.73,0.0,0.65,136.98
0.5,0.71,0.69,0.73,0.69,0.0,0.73,134.4
0.54,0.73,0.72,0.74,0.72,0.08,0.63,137.06
0.55,0.75,0.74,0.76,0.74,0.0,0.66,131.5
0.5,0.71,0.7,0.72,0.7,0.0,0.69,136.06
0.51,0.72,0.71,0.75,0.71,0.0,0.67,134.05
0.53,0.72,0.72,0.75,0.72,0.01,0.69,131.76
0.52,0.72,0.72,0.74,0.72,0.0,0.72,132.11
0.51,0.71,0.7,0.73,0.7,0.0,0.73,133.57
0.57,0.75,0.75,0.76,0.75,0.01,0.68,136.46
0.48,0.68,0.67,0.69,0.67,0.0,0.72,129.93
0.49,0.72,0.7,0.72,0.7,0.0,0.71,134.95
0.52,0.73,0.71,0.74,0.71,0.08,0.69,130.0
0.49,0.7,0.69,0.71,0.69,0.0,0.74,131.57
0.5,0.71,0.7,0.72,0.7,0.0,0.72,135.69
