nsga2_tet,nsga2_derivative,nsga2_infinite,nsga2_instability,nsga2_minmax,nsga2_ms,nsga2_hv,nsga2_time,less_tet,less_derivative,less_infinite,less_instability,less_minmax,less_ms,less_hv,less_time
0.32,0.47,0.43,0.43,0.43,0.3,0.68,66.72,0.33,0.5,0.47,0.44,0.47,0.28,0.62,3.88
0.36,0.51,0.47,0.47,0.47,0.29,0.69,63.81,0.29,0.46,0.43,0.4,0.43,0.29,0.62,3.74
0.42,0.59,0.54,0.55,0.54,0.27,0.66,60.61,0.3,0.47,0.44,0.41,0.44,0.28,0.62,3.72
0.39,0.55,0.5,0.51,0.5,0.28,0.68,64.77,0.29,0.45,0.43,0.39,0.43,0.28,0.62,3.98
0.38,0.54,0.49,0.49,0.49,0.28,0.67,64.49,0.32,0.49,0.47,0.43,0.47,0.28,0.61,3.8
0.39,0.55,0.5,0.5,0.5,0.27,0.67,63.29,0.29,0.46,0.43,0.4,0.43,0.28,0.62,3.71
0.34,0.48,0.44,0.45,0.44,0.3,0.7,63.43,0.29,0.45,0.43,0.4,0.43,0.29,0.62,4.32
0.4,0.56,0.51,0.52,0.51,0.29,0.66,62.23,0.28,0.44,0.42,0.39,0.42,0.29,0.62,3.78
0.37,0.53,0.48,0.48,0.48,0.27,0.68,65.82,0.32,0.49,0.47,0.43,0.47,0.28,0.62,4.27
0.37,0.52,0.47,0.48,0.47,0.29,0.7,62.2,0.3,0.46,0.43,0.4,0.43,0.29,0.62,4.1
0.36,0.5,0.46,0.47,0.46,0.28,0.69,63.92,0.3,0.46,0.44,0.4,0.44,0.28,0.62,3.79
0.39,0.55,0.5,0.51,0.5,0.27,0.66,63.89,0.27,0.43,0.4,0.37,0.4,0.29,0.62,3.86
0.41,0.56,0.52,0.52,0.52,0.28,0.69,62.38,0.3,0.47,0.44,0.41,0.44,0.28,0.62,3.86
0.34,0.49,0.45,0.45,0.45,0.29,0.69,63.99,0.31,0.47,0.45,0.42,0.45,0.28,0.61,3.68
0.37,0.54,0.49,0.49,0.49,0.28,0.66,60.46,0.32,0.49,0.46,0.43,0.46,0.28,0.62,3.5
0.38,0.53,0.49,0.49,0.49,0.28,0.69,64.07,0.28,0.45,0.42,0.39,0.42,0.29,0.62,3.7
0.34,0.49,0.45,0.45,0.45,0.28,0.68,63.46,0.31,0.48,0.45,0.42,0.45,0.28,0.62,3.86
0.38,0.51,0.48,0.48,0.48,0.28,0.7,61.12,0.29,0.46,0.43,0.4,0.43,0.28,0.62,4.13
0.43,0.59,0.54,0.55,0.54,0.27,0.67,61.79,0.3,0.47,0.44,0.41,0.44,0.28,0.62,3.93
0.38,0.53,0.49,0.49,0.49,0.28,0.68,61.88,0.3,0.47,0.44,0.41,0.44,0.28,0.62,3.68
