nsga3_tet,nsga3_derivative,nsga3_infinite,nsga3_instability,nsga3_minmax,nsga3_ms,nsga3_hv,nsga3_time
0.58,0.72,0.69,0.69,0.69,0.27,0.62,96.14
0.56,0.73,0.7,0.68,0.7,0.27,0.54,95.47
0.65,0.79,0.75,0.75,0.75,0.27,0.56,94.81
0.65,0.79,0.76,0.75,0.76,0.27,0.55,93.29
0.7,0.83,0.79,0.78,0.79,0.27,0.51,96.14
0.56,0.7,0.68,0.66,0.68,0.27,0.65,93.32
0.57,0.7,0.68,0.67,0.68,0.27,0.63,92.92
0.58,0.75,0.71,0.7,0.71,0.27,0.55,95.05
0.61,0.77,0.74,0.72,0.74,0.27,0.56,95.8
0.63,0.78,0.74,0.73,0.74,0.27,0.55,92.74
0.64,0.8,0.75,0.75,0.75,0.27,0.53,95.91
0.61,0.77,0.74,0.72,0.74,0.27,0.56,95.82
0.65,0.77,0.75,0.74,0.75,0.27,0.61,95.48
0.53,0.69,0.66,0.65,0.66,0.27,0.59,94.39
0.53,0.68,0.65,0.63,0.65,0.27,0.61,93.82
0.61,0.77,0.73,0.73,0.73,0.27,0.55,94.91
0.6,0.73,0.7,0.7,0.7,0.27,0.61,95.4
0.63,0.78,0.74,0.73,0.74,0.27,0.57,95.06
0.68,0.81,0.78,0.77,0.78,0.27,0.56,95.16
0.62,0.77,0.74,0.72,0.74,0.27,0.57,94.11
