nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.43,0.6,0.6,0.59,0.6,0.0,0.82,116.67
0.42,0.61,0.61,0.59,0.61,0.0,0.83,118.94
0.41,0.6,0.6,0.58,0.61,0.0,0.79,126.74
0.46,0.65,0.65,0.64,0.65,0.0,0.78,149.31
0.35,0.53,0.53,0.51,0.53,0.0,0.87,155.43
0.44,0.62,0.62,0.61,0.62,0.0,0.83,165.62
0.46,0.64,0.64,0.63,0.64,0.01,0.78,162.63
0.45,0.63,0.63,0.63,0.64,0.0,0.82,161.92
0.41,0.58,0.58,0.58,0.59,0.0,0.84,161.93
0.42,0.61,0.61,0.59,0.61,0.0,0.81,166.94
0.44,0.62,0.62,0.6,0.62,0.01,0.82,161.4
0.38,0.57,0.57,0.55,0.57,0.01,0.85,169.63
0.43,0.61,0.61,0.6,0.61,0.0,0.83,161.42
0.42,0.61,0.61,0.59,0.61,0.0,0.81,166.8
0.38,0.57,0.57,0.53,0.57,0.0,0.86,162.04
0.39,0.58,0.58,0.55,0.58,0.01,0.85,163.75
0.44,0.63,0.63,0.61,0.63,0.0,0.79,161.09
0.44,0.62,0.62,0.61,0.62,0.0,0.81,164.9
0.37,0.56,0.56,0.53,0.56,0.0,0.84,156.81
0.38,0.56,0.56,0.55,0.57,0.0,0.85,155.81
