moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.6,0.83,0.82,0.83,0.82,0.0,0.44,63.44
0.64,0.86,0.85,0.86,0.85,0.0,0.39,62.74
0.61,0.84,0.83,0.84,0.83,0.0,0.42,62.89
0.59,0.82,0.82,0.83,0.82,0.0,0.44,64.64
0.61,0.83,0.83,0.84,0.83,0.0,0.42,69.58
0.6,0.83,0.83,0.83,0.83,0.0,0.44,69.57
0.6,0.83,0.82,0.83,0.82,0.0,0.44,69.01
0.6,0.83,0.82,0.83,0.82,0.0,0.44,69.11
0.55,0.8,0.79,0.8,0.79,0.0,0.47,69.06
0.61,0.83,0.83,0.84,0.83,0.0,0.43,69.21
0.57,0.81,0.8,0.81,0.8,0.0,0.46,68.98
0.53,0.78,0.77,0.78,0.77,0.0,0.49,71.77
0.61,0.84,0.83,0.84,0.83,0.0,0.43,70.91
0.6,0.83,0.83,0.84,0.83,0.0,0.43,69.63
0.59,0.82,0.82,0.82,0.82,0.0,0.44,77.19
0.63,0.85,0.85,0.85,0.85,0.0,0.42,76.25
0.62,0.84,0.84,0.85,0.84,0.0,0.43,75.94
0.61,0.84,0.83,0.84,0.83,0.0,0.41,76.31
0.59,0.82,0.81,0.82,0.81,0.0,0.45,76.31
0.63,0.85,0.85,0.85,0.85,0.0,0.39,75.96
