moead_tet,moead_derivative,moead_infinite,moead_instability,moead_minmax,moead_ms,moead_hv,moead_time
0.55,0.87,0.86,0.88,0.86,0.0,0.47,62.54
0.57,0.88,0.87,0.89,0.87,0.0,0.45,65.26
0.56,0.88,0.87,0.89,0.87,0.0,0.47,64.04
0.55,0.87,0.85,0.88,0.85,0.0,0.47,64.63
0.57,0.88,0.87,0.89,0.87,0.0,0.46,64.68
0.53,0.86,0.84,0.86,0.84,0.0,0.49,64.69
0.56,0.87,0.87,0.89,0.87,0.0,0.46,64.4
0.54,0.85,0.85,0.87,0.85,0.0,0.48,62.45
0.52,0.85,0.83,0.85,0.83,0.0,0.5,61.85
0.54,0.86,0.85,0.87,0.85,0.0,0.48,65.45
0.56,0.87,0.86,0.88,0.86,0.0,0.46,68.13
0.58,0.89,0.88,0.9,0.88,0.0,0.44,68.26
0.5,0.84,0.81,0.84,0.81,0.0,0.52,67.63
0.51,0.85,0.82,0.85,0.82,0.0,0.51,67.88
0.56,0.87,0.87,0.89,0.87,0.0,0.47,67.76
0.58,0.89,0.88,0.9,0.88,0.0,0.46,68.55
0.55,0.87,0.86,0.88,0.86,0.0,0.47,68.16
0.56,0.88,0.87,0.89,0.87,0.0,0.47,66.04
0.55,0.87,0.86,0.88,0.86,0.0,0.47,62.19
0.53,0.87,0.83,0.86,0.83,0.0,0.48,62.18
