nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.4,0.63,0.72,0.68,0.72,0.0,0.84,129.21
0.31,0.54,0.63,0.59,0.63,0.0,0.87,140.12
0.36,0.58,0.67,0.65,0.67,0.0,0.87,151.6
0.37,0.6,0.7,0.66,0.7,0.0,0.83,145.54
0.35,0.58,0.67,0.65,0.67,0.0,0.87,148.2
0.37,0.58,0.68,0.66,0.68,0.0,0.87,154.16
0.35,0.57,0.67,0.64,0.67,0.0,0.87,159.67
0.36,0.58,0.68,0.66,0.68,0.0,0.85,161.87
0.4,0.63,0.73,0.69,0.73,0.0,0.83,161.58
0.37,0.6,0.69,0.64,0.69,0.0,0.85,159.55
0.3,0.51,0.6,0.58,0.6,0.0,0.9,163.43
0.33,0.55,0.65,0.62,0.65,0.0,0.89,162.25
0.31,0.53,0.62,0.6,0.62,0.0,0.87,151.97
0.35,0.56,0.65,0.63,0.65,0.0,0.88,152.28
0.35,0.59,0.68,0.64,0.68,0.0,0.85,127.93
0.37,0.61,0.71,0.67,0.71,0.0,0.85,126.99
0.34,0.56,0.65,0.62,0.65,0.0,0.89,122.04
0.31,0.54,0.64,0.6,0.64,0.0,0.88,119.35
0.35,0.57,0.66,0.63,0.66,0.0,0.89,142.42
0.31,0.52,0.6,0.57,0.6,0.0,0.91,133.26
