nsga2_tet,nsga2_derivative,nsga2_infinite,nsga2_instability,nsga2_minmax,nsga2_ms,nsga2_hv,nsga2_time,less_tet,less_derivative,less_infinite,less_instability,less_minmax,less_ms,less_hv,less_time
0.3,0.55,0.66,0.56,0.66,0.0,0.91,70.99,0.3,0.57,0.68,0.57,0.68,0.0,0.85,7.09
0.29,0.54,0.65,0.55,0.65,0.0,0.89,67.9,0.28,0.54,0.65,0.54,0.65,0.0,0.86,7.09
0.3,0.55,0.66,0.55,0.66,0.0,0.9,67.52,0.29,0.55,0.66,0.54,0.65,0.0,0.86,7.04
0.3,0.55,0.66,0.55,0.66,0.0,0.91,74.12,0.31,0.58,0.69,0.58,0.69,0.0,0.84,7.32
0.29,0.54,0.64,0.53,0.64,0.0,0.91,69.08,0.3,0.56,0.67,0.56,0.67,0.0,0.86,7.19
0.29,0.53,0.63,0.53,0.63,0.0,0.93,66.54,0.28,0.54,0.65,0.54,0.65,0.0,0.84,7.21
0.29,0.55,0.66,0.56,0.66,0.0,0.9,66.66,0.33,0.59,0.7,0.59,0.7,0.0,0.85,7.1
0.28,0.52,0.62,0.52,0.62,0.0,0.94,66.74,0.32,0.58,0.69,0.58,0.69,0.0,0.85,6.95
0.3,0.54,0.65,0.54,0.65,0.0,0.92,65.6,0.29,0.56,0.66,0.55,0.66,0.0,0.85,7.1
0.29,0.54,0.64,0.53,0.64,0.0,0.92,65.96,0.3,0.57,0.68,0.56,0.68,0.0,0.86,6.98
0.3,0.53,0.64,0.54,0.64,0.0,0.93,66.34,0.29,0.56,0.66,0.55,0.66,0.0,0.86,7.46
0.28,0.53,0.63,0.53,0.63,0.0,0.9,67.94,0.3,0.57,0.67,0.56,0.67,0.0,0.85,7.36
0.3,0.56,0.68,0.58,0.68,0.0,0.88,68.23,0.28,0.54,0.65,0.54,0.65,0.0,0.85,7.13
0.23,0.46,0.55,0.46,0.55,0.0,0.96,71.11,0.3,0.56,0.67,0.56,0.67,0.0,0.86,6.96
0.3,0.55,0.66,0.55,0.66,0.0,0.91,70.05,0.28,0.54,0.64,0.53,0.64,0.0,0.85,6.89
0.25,0.49,0.59,0.49,0.59,0.0,0.93,70.32,0.29,0.56,0.66,0.56,0.66,0.0,0.85,7.17
0.28,0.52,0.62,0.51,0.62,0.0,0.94,69.03,0.32,0.59,0.69,0.58,0.69,0.0,0.85,7.08
0.32,0.57,0.68,0.57,0.68,0.0,0.91,67.42,0.27,0.53,0.64,0.53,0.64,0.0,0.86,6.94
0.3,0.55,0.66,0.56,0.66,0.0,0.9,67.92,0.3,0.57,0.68,0.57,0.68,0.0,0.85,6.93
0.3,0.55,0.66,0.56,0.66,0.0,0.92,67.05,0.27,0.54,0.65,0.54,0.65,0.0,0.86,6.98
