nsga3_tet,nsga3_derivative,nsga3_infinite,nsga3_instability,nsga3_minmax,nsga3_ms,nsga3_hv,nsga3_time
0.53,0.69,0.69,0.7,0.69,0.0,0.7,96.62
0.56,0.71,0.71,0.7,0.72,0.0,0.72,97.93
0.58,0.73,0.73,0.74,0.73,0.1,0.59,101.4
0.61,0.78,0.78,0.76,0.78,0.0,0.66,106.28
0.58,0.75,0.75,0.76,0.75,0.0,0.65,105.54
0.58,0.75,0.75,0.75,0.75,0.0,0.64,106.35
0.54,0.71,0.7,0.7,0.7,0.0,0.7,103.97
0.51,0.67,0.67,0.68,0.68,0.0,0.72,102.71
0.57,0.73,0.72,0.74,0.73,0.0,0.7,102.02
0.48,0.67,0.67,0.65,0.67,0.0,0.72,103.5
0.5,0.66,0.66,0.65,0.66,0.0,0.8,103.26
0.53,0.69,0.69,0.7,0.69,0.0,0.7,99.77
0.52,0.68,0.68,0.68,0.68,0.0,0.7,98.65
0.5,0.67,0.67,0.66,0.67,0.0,0.7,99.09
0.54,0.69,0.69,0.7,0.69,0.04,0.7,99.69
0.47,0.63,0.63,0.64,0.64,0.0,0.74,100.52
0.56,0.72,0.72,0.7,0.72,0.0,0.74,98.58
0.58,0.73,0.72,0.74,0.73,0.0,0.7,96.22
0.5,0.69,0.69,0.66,0.69,0.0,0.73,99.11
0.54,0.7,0.7,0.7,0.7,0.0,0.69,98.37
