nsga2_tet,nsga2_derivative,nsga2_infinite,nsga2_instability,nsga2_minmax,nsga2_ms,nsga2_hv,nsga2_time,less_tet,less_derivative,less_infinite,less_instability,less_minmax,less_ms,less_hv,less_time
0.36,0.57,0.56,0.64,0.56,0.02,0.88,50.34,0.29,0.56,0.55,0.55,0.55,0.0,0.83,2.57
0.37,0.57,0.56,0.64,0.56,0.02,0.91,49.24,0.32,0.59,0.58,0.58,0.58,0.0,0.83,2.7
0.34,0.55,0.53,0.61,0.53,0.02,0.92,49.95,0.31,0.58,0.57,0.57,0.57,0.0,0.83,2.6
0.35,0.56,0.55,0.63,0.55,0.02,0.91,58.02,0.31,0.58,0.57,0.57,0.57,0.0,0.83,3.14
0.35,0.55,0.54,0.62,0.54,0.03,0.91,57.08,0.31,0.57,0.57,0.57,0.57,0.0,0.83,3.34
0.33,0.55,0.53,0.61,0.53,0.01,0.92,54.89,0.31,0.57,0.57,0.56,0.57,0.0,0.83,3.0
0.38,0.59,0.58,0.66,0.58,0.0,0.9,59.37,0.31,0.57,0.57,0.57,0.57,0.0,0.83,3.08
0.35,0.56,0.55,0.63,0.55,0.03,0.9,57.99,0.32,0.59,0.58,0.58,0.58,0.0,0.83,3.12
0.36,0.56,0.55,0.63,0.55,0.02,0.91,57.25,0.31,0.58,0.58,0.57,0.58,0.0,0.83,3.21
0.4,0.6,0.59,0.66,0.59,0.02,0.89,60.57,0.33,0.6,0.59,0.59,0.59,0.0,0.83,4.6
0.37,0.58,0.57,0.65,0.57,0.01,0.89,73.62,0.32,0.59,0.59,0.58,0.59,0.0,0.83,4.31
0.36,0.57,0.56,0.64,0.56,0.0,0.9,77.7,0.31,0.57,0.57,0.57,0.57,0.0,0.83,4.37
0.34,0.56,0.55,0.63,0.55,0.02,0.91,77.8,0.31,0.58,0.57,0.57,0.57,0.0,0.83,4.74
0.37,0.58,0.57,0.64,0.57,0.01,0.9,76.68,0.31,0.57,0.57,0.57,0.57,0.0,0.83,4.53
0.38,0.59,0.58,0.66,0.58,0.0,0.89,72.97,0.31,0.57,0.57,0.57,0.57,0.0,0.83,4.42
0.38,0.59,0.58,0.66,0.58,0.01,0.92,73.98,0.3,0.57,0.56,0.56,0.56,0.0,0.83,4.28
0.37,0.56,0.55,0.63,0.55,0.02,0.92,77.02,0.32,0.58,0.58,0.57,0.58,0.0,0.83,4.33
0.38,0.59,0.58,0.65,0.58,0.02,0.92,73.35,0.32,0.58,0.58,0.57,0.58,0.0,0.83,4.34
0.34,0.55,0.54,0.62,0.54,0.03,0.92,77.99,0.3,0.56,0.56,0.56,0.56,0.0,0.83,3.64
0.36,0.57,0.56,0.64,0.56,0.02,0.89,71.22,0.3,0.57,0.56,0.56,0.56,0.0,0.83,4.25
