nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.46,0.61,0.57,0.62,0.57,0.02,0.85,136.17
0.45,0.61,0.56,0.62,0.56,0.01,0.84,142.59
0.47,0.62,0.58,0.61,0.58,0.02,0.79,63.38
0.44,0.56,0.54,0.57,0.54,0.03,0.83,61.36
0.48,0.62,0.59,0.62,0.59,0.02,0.83,88.16
0.46,0.6,0.57,0.59,0.57,0.02,0.81,60.95
0.47,0.6,0.57,0.6,0.57,0.02,0.82,65.41
0.46,0.6,0.54,0.61,0.54,0.02,0.81,63.97
0.48,0.62,0.58,0.63,0.58,0.01,0.77,59.98
0.46,0.59,0.57,0.6,0.57,0.01,0.81,61.53
0.45,0.59,0.56,0.58,0.56,0.03,0.8,65.73
0.44,0.57,0.55,0.56,0.55,0.03,0.83,59.36
0.48,0.65,0.58,0.67,0.58,0.02,0.82,573.79
0.46,0.63,0.57,0.65,0.57,0.02,0.85,1069.71
0.46,0.6,0.57,0.6,0.57,0.02,0.82,80.25
0.42,0.56,0.51,0.58,0.51,0.03,0.82,60.9
0.42,0.58,0.53,0.59,0.53,0.02,0.83,129.28
0.46,0.58,0.55,0.58,0.55,0.02,0.82,56.96
0.46,0.59,0.58,0.59,0.58,0.02,0.8,49.57
0.47,0.62,0.57,0.63,0.57,0.01,0.78,51.98
