nsga2_5g_tet,nsga2_5g_derivative,nsga2_5g_infinite,nsga2_5g_instability,nsga2_5g_minmax,nsga2_5g_ms,nsga2_5g_hv,nsga2_5g_time
0.46,0.61,0.58,0.57,0.58,0.28,0.66,114.59
0.4,0.55,0.52,0.51,0.52,0.28,0.67,109.85
0.47,0.62,0.59,0.58,0.59,0.27,0.63,113.07
0.38,0.53,0.5,0.49,0.5,0.29,0.69,119.51
0.37,0.52,0.49,0.48,0.49,0.28,0.68,127.73
0.39,0.53,0.5,0.49,0.5,0.28,0.68,136.26
0.47,0.62,0.6,0.58,0.6,0.27,0.64,142.0
0.38,0.52,0.49,0.49,0.49,0.28,0.67,137.3
0.43,0.58,0.56,0.54,0.56,0.27,0.64,137.86
0.36,0.51,0.48,0.47,0.48,0.29,0.68,135.1
0.36,0.51,0.48,0.47,0.48,0.28,0.68,146.28
0.41,0.57,0.53,0.52,0.53,0.28,0.65,140.83
0.38,0.52,0.49,0.49,0.49,0.28,0.68,139.06
0.4,0.56,0.53,0.51,0.53,0.28,0.66,141.46
0.41,0.56,0.53,0.52,0.53,0.28,0.66,147.18
0.39,0.53,0.5,0.5,0.5,0.28,0.69,138.45
0.41,0.57,0.54,0.53,0.54,0.27,0.66,138.41
0.44,0.58,0.55,0.54,0.55,0.27,0.66,114.08
0.39,0.54,0.51,0.5,0.51,0.28,0.65,118.5
0.44,0.59,0.56,0.55,0.56,0.28,0.65,116.23
